[f, 01]
[t, , 那群男生一邊嘲笑一邊打屁的把中間那位男生給趕走了。]
[f, 07]
[t, , 不知道是不是有點壞，算了。]
[t, ???, 那期中報告就一起完成吧，對了，我叫 Gavin，我旁邊這位是 Edwin。]
[t, Edwin, 這報告感覺沒多難，其實根本不用分組。]
[t, Gavin, Edwin 可是我們系上的卷哥，輕輕鬆鬆報告應該就寫完了。]
[t, Fiona, 嗯嗯，那先這樣吧，之後再找時間討論報告~]
[t, Edwin, 不用討論啊，自己搞一稿就弄完了。]
[t, Fiona, 哈哈，也是啦，畢竟聽你同學說你那麼厲害。]
[t, , 垃圾，跩甚麼，但是好像頭腦很好，當我的工具人一定很棒。]
[cend]
[c, B3]
[t, Fiona, 那就... 中間和左邊那位吧...？]
[t, , 那群男生一邊嘲笑一邊打屁的把右邊那位壯壯的男生給趕走了。]
[f, 08]
[t, , 不知道是不是有點壞，算了。]
[t, ???, 那期中報告就一起完成吧，對了，我叫 Eliot ，我旁邊這位是 Edwin。]
[t, Edwin, 這報告感覺沒多難，其實根本不用分組。]
[t, Eliot, 那就先這樣吧，之後再跟妳們聯絡討論報告作業的時間吧~！]
[t, Fiona, 嗯嗯，先這樣吧。]
[cend]
[f, 04]
[t, , 好可惜... 感覺這三個男生都可以當我的工具人的，但是又不能把室友踢掉。]
[t, , 打鐘了，等等中餐時間還得去義大利麵餐廳打工，得趕緊出發。]
[f, 09]
[t, , 好累... 今天客人怎麼那麼多。]
[t, , 地板上還有奇怪的黏稠污漬，感覺是玉米濃湯打翻了，送完餐點後得趕緊來清理。]
[t, 客人們, 欸欸，你們看這個服務生超正的耶！]
[t, 客人們, 對呀，好像從暑假快結束她就在這邊打工了。]
[t, 客人們, 而且身材也不錯，這種肯定已經死會了。我來用 Facebook 查查看她。]
[t, 客人們, 我想要去跟她點餐，跟這種極品妹講話的機會不多啊！]
[t, , ...]
[t, , 講那麼大聲真的是有點不好意思。]
[t, , 雖然是滿開心的啦，感覺靠著我的身材外表應該就可以輕鬆組完工具箱了吧，呵呵！]
[t, Fiona, 您的餐點一共180元，跟您收200。]
[t, 付錢的客人, 不好意思，妳是甚麼時候開始在這裡打工的呀？]
[t, Fiona, 兩個星期前開始的喔。找您20元和發票。]
[t, , 那個客人回去跟他朋友吃飯了。那個客人真是醜，跟他說到話好噁心。]
[t, , 人還是好多，得趕緊來送餐點了。]
[t, Fiona, 您的奶油蘆筍香腸義大利麵~ 還有套餐的飲料...]
[t, Fiona, 啊啊啊！]
[t, , 跌倒了。屁股好痛...]
[t, , 完了，飲料打翻在...客人的褲子上，位置有點尷尬啊。]
[t, Fiona, 抱歉抱歉！]
[f, c4]
[t, , 這個客人好肥好醜，身上還穿資工系系服，一臉肥宅臉... 不太想靠近他耶。]
[t, , 不行，資工系就是工具人培訓中心，搞不好可以順便撿到一個工具人。]
[o, C, 3, 該怎麼做呢...？, 幫他用手清乾淨, 幫他用其他部位清乾淨, 給他抹布叫他自己擦乾淨]
[c, C1]
[t, Fiona, 我馬上去拿抹布，真是十分抱歉！]
[t, , ...]
[t, Fiona, 褲子沾到飲料了，我來幫忙擦拭一下。]
[t, , 咦咦，怎麼覺得這位客人一直在微微發抖，褲子中間還怪怪的。]
[t, 客人, (氣喘吁吁) 呼...呼...]
[t, Fiona, 造成你麻煩十分抱歉！]
[t, 客人, 不會... 呼...呼...]
[t, , 在我下班前，那位客人一直看著我，一直被資工系肥宅注視的感覺好不舒服。]
[cend]
[c, C2]
[t, , 要用甚麼幫忙清乾淨... 我也只想的到用手拿抹布擦拭了！]
[t, Fiona, 我馬上去拿抹布，真是十分抱歉！]
[t, , ...]
[t, Fiona, 褲子沾到飲料了，我來幫忙擦拭一下。]
[t, , 咦咦，怎麼覺得這位客人一直在微微發抖，褲子中間還怪怪的。]
[t, 客人, (氣喘吁吁) 呼...呼...]
[t, Fiona, 造成你麻煩十分抱歉！]
[t, 客人, 不會... 呼...呼...]
[t, , 在我下班前，那位客人一直看著我，一直被資工系肥宅注視的感覺好不舒服。]
[cend]
[c, C3]
[t, , 噁心肥宅還是自己輕褲子上的飲料污漬吧。]
[t, Fiona, 抹布在這~ 造成麻煩十分抱歉！]
[t, 客人, 嗯...]
[t, , 好噁心，不想再接近他了。]
[cend]
[f, 09]
[t, 餐廳老闆, 送餐注意點！到時候被投訴小心我扣妳薪水。]
[t, Fiona, 嗯嗯，我會打起精神注意送餐點的。]
[t, , 唉唉，被罵了。]
[f, 03]
[t, , 終於下班了，回宿舍休息吧。]
[f, 10]
[t, , 又有好友邀請跟好多未讀訊息，真麻煩。]
[t, , 咦，有個人叫做 Stan 的密我。看照片... 印象中好像是今天跟我點餐的某一位客人。]
[f, 11]
[t, Stan, 嗨嗨！]
[t, Stan, 我今天在餐廳看到妳打工，就跑來加妳好友惹~ ^^]
[t, Fiona, 哈哈，是喔]
[o, D, 2, 又來一個開汁的，我該, 跟 Stan 聊一下, 跟 Stan 說去洗澡]
[t, Stan, 在那邊打工待遇好嗎？今天看妳好像打翻飲料了？還好吧？]
[c, D1]
[t, , 我要蒐集他成為我的工具人！附和一下他吧。]
[t, Fiona, 還行呀~ 老闆人很好的~ 只有被唸一下而已XD]
[t, Stan, 那就好，我原本還想說會不會之後去那家餐廳吃晚餐就看不到妳了呢><]
[t, Fiona, 哈哈，如果下次又發生類似的事情，要來救我喔~XD]
[t, Stan, 那也要我常常在那家店吃啊]
[t, Fiona, 那為了我常來呀~]
[t, , ...]
[t, , 聊了好久，懶得再跟他聊天了，得想辦法句點他。]
[t, Fiona, 我還有滿多作業要弄得，之後再聊吧]
[t, Stan, 才剛開學耶，怎麼會有那麼多作業？]
[t, Fiona, 哈哈，我也不知道，教授好機車~ 掰掰啦]
[f, 10]
[cend]
[c, D2]
[t, Fiona, 哈哈，還行，我剛回宿舍，先去洗澡喔]
[f, 10]
[t, , 封鎖他好了，他好吵，問東問西。]
[cend]
[c, A2]
[t, , 突然想到，Carl的手機還在我這，那塊油膩膩的手機居然沒有設定密碼。]
[f, 02]
[o, E, 2, 我該看他手機裡的甚麼東西？, 看 Facebook Messenger, 看 媒體撥放器]
[c, E1]
[t, , 找到他 Facebook 帳號了，加他好友，跟他說手機在我這好了。]
[f, 12]
[t, Fiona, 哈囉，你的手機是不是不見了？]
[t, Carl, 對！妳是...？]
[t, Fiona, 我是今天早上上學時撞到妳的那位同學啦，哈哈]
[t, Carl, 原來，我手機感覺掉在路上忘記拿了...]
[t, Fiona, 我之後有看到，撿起來後就發現你人不見了]
[t, Carl, 抱歉抱歉，我趕課走路走太快，沒注意到，所以現在手機在妳那邊？]
[t, Fiona, 對，看甚麼時候要來跟我拿一下]
[t, Carl, 嗯嗯，明天中午吧？不知道妳方不方便？]
[t, Fiona, 我早上上課後，直接在後門給我比較順路，Ok嗎？]
[t, Carl, 好的，真是謝謝妳~ 感覺妳是個很受歡迎的女孩子，對吧。人那麼好~]
[t, , 又一個開汁的男生...。]
[t, Fiona, 哈哈，也沒有啦，就順道幫幫忙囉。]
[t, Carl, 真的嗎，妳今天那麼急著是要去上甚麼課呀？]
[t, , ...]
[t, , 聊了好一陣子，好乾，這男的跟本不會喇妹還要硬聊...]
[t, Fiona, 我要先去洗衣服了~ 之後再聊吧，明天見！]
[t, Carl, 嗯嗯，掰掰~ 明天見]
[f, 02]
[cend]
[c, E2]
[t, , 有好多部動畫喔，每部都是日文片名耶。]
[t, , 這... 這是什麼呀呀！！影片裡怎麼會有一堆觸手在侵犯女孩子！好噁心！]
[f, 13]
[t, , 啊，我太激動把他手機折斷了，算了，丟掉吧。]
[t, , 那個 Carl 原來是那麼噁心下流的變態，還好沒有跟他有其他來往，太噁心了。]
[cend]
[cend]
[t, , 對了，差點忘記了，該來選這學期的通識課程了，睡前弄一弄吧。]
[f, 10]
[t, , 搞不好選對了通識課，就可以更快速輕易的蒐集到更多的工具人~ ]
[o, F, 3, 選擇通識課, 科學在人類文化中的定位與挑戰, 排球入門, 中級英文選讀]
[t, , 希望這門通識課有夠多蠢蠢的理工男，可以聽我的使喚，呵呵呵呵。]
[f, 02]
[t, , 咦，男朋友怎麼打電話過來了？]
[f, 14]
[t, 男友, 哈呢~~~ 今天開學很忙吧~~~？]
[t, Fiona, 對呀~~~ 正要去睡覺呢~~~]
[t, 男友, 這麼早就要睡了喔~~~？很累喔~~~？]
[t, Fiona, 沒有啦~~~ 只是沒甚麼事做了~~~]
[t, 男友, 那~~~ 我正要吃消夜，妳要來我家一起吃嗎~~~？]
[t, Fiona, 嗯嗯~~~ 好呀~~~ 當然要陪哈呢吃~~~]
[t, 男友, 那待會兒見~~~]
[f, 02]
[t, , 有個高高帥帥的男友真幸福，不過有著自己的工具箱才是王道。]
[f, 00]
[t, , 得換個衣服出發。等等又能在男朋友家裏吃得好飽好飽好飽囉~ 開心 <3]
[t, , ]
[t, , <<<<第二天>>>>]
[t, , ]
[f, 01]
[t, , 好累... 昨晚幾乎沒睡呢。]
[t, , 得先回自己的宿舍拿等等上課要用的課本。]
[f, c3]
[t, 男友, 哈呢~~~ 要走囉~~~？]
[t, Fiona, 嗯嗯，對呀~~~ 得準備上課了呢~~~ ]
[t, 男友, 掰掰啦~~~ ]
[f, 03]
[t, , 宿舍好遠... 早知道就叫男朋友載我回去了。]
[f, 15]
[t, , 咦，那不是 Stephanie 嗎？那個女人旁邊還有一個有重機的男生耶！該不會已經被收服了吧？]
[f, c1]
[t, , 不行，我要趕緊過去打擾一下，不然工具人蒐集的進度就要被超越了。]
[t, Fiona, Hello~! Stephanie~! 怎麼會在這邊呀~？]
[t, Stephanie, 痾... Hello~ 我只是看到這台重機覺得很酷，就來問問看 Dan 呀。]
[f, c5]
[t, , 原來這個有重機的男生叫做 Dan，感覺得出來 Stephanie 想要我滾，她一直用眼神叫我走開。]
[t, , 但是如果我就這樣走開的話，Dan 感覺會被 Stephanie 收服，他們聊得很盡興的樣子。]
[f, 15]
[o, G, 2, 該怎麼做呢？, 過去假裝被小石頭絆倒, 掉個東西彎腰撿一下]
[c, G1]
[t, Fiona, 哇~ 這個重機的好大一台，而且烤漆顏色好漂亮喔！]
[t, Fiona, 我過去看一下~]
[t, , Stephanie 一直在瞪我，無所謂，我已經吸引到 Dan 的注意了。]
[t, Fiona, 啊啊啊！唉呦！]
[t, , Dan 果然跑過來了。]
[t, Dan, 有沒有怎麼樣？這邊的地板坑洞很多，要小心點喔。]
[t, Fiona, 嗯嗯，沒事沒事，謝謝喔~ ]
[t, Dan, 妳是 Stephanie 的朋友對吧？漂亮的女孩子都會互相認識呢！]
[t, Fiona, 沒有啦~ 我哪比的上 Stephanie ~]
[t, Stephanie, 你們標準都太低了啦~]
[t, Fiona, 感覺得出來你很愛惜這台機車~ 這些烤漆感覺都是特別去處理的對吧？]
[t, Stephanie, Dan 就是個愛車人士呀，妳怎麼...]
[t, Dan, 其實我原本也不是那麼喜歡重機，會有這台車是有故事的。]
[t, Fiona, 是喔？什麼故事呀？]
[t, Stephanie, 咦，我怎麼不知道...]
[t, , 嗯，很好，我果然比較會跟男生搭話，Stephanie 在旁邊聽我們聊天就好了吧。]
[t, , ...]
[t, Stephanie, 那個... Fiona 妳不是要上課了嗎？怎麼還在這邊搭訕 Dan 呀？]
[t, , 煩，就是想要趕走我對吧。]
[t, Fiona, 噢噢，對耶，那我先走一步了喔！]
[t, Dan, Bye~ Fiona！]
[t, Fiona, 掰掰啦，之後看有沒有機會能夠坐到那台機車~ ]
[t, Dan, 對了！可以給我一下妳的Line嗎？這樣才有機會坐到機車喔。]
[f, 02]
[t, Fiona, 嗯嗯，沒問題呀~]
[t, , 這個 Dan 獲得得十分順利呢，呵呵。]
[cend]
[c, G2]
[t, , 掉個鑰匙好了。]
[f, c5]
[t, Fiona, 嗨~ Dan~ 我是 Fiona 是 Stephanie 的朋友。唉呀，有東西掉了。]
[t, , 今天的穿著... 感覺可以吸引 Dan 盯著我看，應該效果滿大的吧。]
[t, , 果然不出所料，Dan 的視線一直在我彎腰時，看著我的胸口。]
[f, 15]
[t, Stephanie, Dan~ 你在看哪裡~？ Fiona 可是我朋友呢！這樣亂看都被我發現了~]
[t, Dan, 噢，抱歉抱歉，美的事物總是值得欣賞的啊，哈哈。]
[t, Fiona, 我先去上課囉，你們慢慢聊，希望我有機會坐上那台酷炫的重機~ ]
[t, Dan, 掰掰囉。]
[t, Dan, 會有機會的，我相信。]
[t, , Dan 感覺也是個色男呢，應該挺好收服的。]
[cend]
[f, 04]
[t, , 又開始上課了，無聊的課... 又要浪費兩小時了嗎...]
[t, , 咦咦，坐在我旁邊的人好像是我高中同學。不對，就是他 Alex。]
[f, c7]
[t, , 之前高中時一直在追我，但是他好短，至少身高很短。]
[t, , 還是男友比較好，長得高高帥帥長長的。]
[t, , 不過 Alex 家裡超有錢，感覺當我專屬的提款機工具人還不錯呢。]
[t, , 在準備考大學時，就跟 Alex 淡了聯繫，不知道該跟他聊啥。]
[t, Fiona, Alex 還記得我嗎？]
[t, Alex, 當然記得呀，沒想到妳也有選這堂課！]
[o, H, 2, 跟 Alex 聊甚麼呢？, 問他，他手中的手機，iPhone10ss多少錢？, 問他，覺得學校附近哪裡好玩？]
[c, H1]
[t, Fiona, 你還是跟我印象中一樣，每次都有最新的電子產品。]
[t, Fiona, 手上那隻是 iPhone10ss 吧？如果我沒看錯的話。]
[t, Alex, 嗯，沒錯呦，我爸送我的生日禮物。在發售當天就買到了。]
[t, Fiona, 哈哈，你果然還是跟以前一樣都有這些新奇的潮物。]
[t, Alex, 這隻 iPhone10ss 超強，其他手機都是垃圾廢鐵。]
[t, Alex, 最新功能是可以當投影機用，只要一起買原廠出的礦物油冷卻系統就不用怕過熱的問題。]
[t, Alex, 而且相機還有透視功能，走在路上隨便拍都可以回家開心看。]
[t, Alex, 妳用那啥爛手機？ iPhone 9？骨灰級的東西，趁現在賣掉還有錢，快點隨便拋售啦。]
[t, , 他還是跟以前一樣，果粉，那個高高在上的感覺真令人討厭。]
[t, Fiona, 喔。你就多厲害，還不是你老爸買給你的，投對胎應該是你這生中唯一做對的事情。]
[t, Alex, 我很厲害了啊，至少跟妳來到同一間大學啊，這樣已經很努力了耶。]
[t, Fiona, 你還不是走後門靠你老爸的關係進來的，有那台手機除了潮到出水，還能怎樣？]
[t, Fiona, 高中的時候你就有跑車，還不是追不到喜歡的人。]
[t, Alex, 妳以為我高中只喜歡過妳嘛？誰稀罕啊。]
[t, Fiona, 喔，那之前一直給我禮物的不知道是誰勒。]
[t, , 他沉默了，Alex 死性還是不改，就是一個自大的富二代。]
[cend]
[c, H2]
[t, Fiona, 最近看到你的臉書上常常有出去玩耍？]
[t, Alex, 對呀，上大學後自己的時間滿多的，可以出去玩到盡興。]
[t, Fiona, 你還真的很會玩耶~ 有甚麼推薦的行程呀？]
[t, Alex, 哈哈，還好吧。怎麼？妳要叫妳男朋友帶妳去玩喔？]
[t, , 奇怪，他怎麼會知道我有男朋友了。這樣要蒐集 Alex 成為我的工具人可能有點難度。]
[t, Fiona, 沒有啦~ 只是好奇而已~ ]
[t, Alex, 白天的時候基本上會看天氣，如果不是大太陽就會跟我的車友們一起開車出去晃晃。]
[t, Alex, 反正有車子走高速公路不管去哪都還算方便。]
[t, Fiona, 對耶... 你有車，真是方便，也不用吹風日曬的。]
[t, Alex, 之後出去玩也可以載妳呀，讓妳做副駕駛座。]
[t, Fiona, 怎麼這麼好~ 那吃的呢？有什麼推薦？]
[t, Alex, 我昨天是吃附近的老杯杯烤肉啦，它的牛橫膈膜超棒的！]
[t, Fiona, 老杯杯！那不是很貴嗎？]
[t, Alex, 是還好啦，橫膈膜比較貴，但是牛舌就還OK，大概一餐三千就可以吃得很盡興了。]
[t, Fiona, 三千，我可以活快一個月耶！晚上呢？感覺你一定有夜生活~ ]
[t, Alex, 喔喔，OMNING 這家夜店我最常去，酒水不錯，而且也有滿多有名的人在演出。]
[t, Fiona, 哇... 我對這些東西真的是完全不了解。]
[t, Alex, 我是可以帶妳一起去玩呀，不過不能被妳男友知道，不然他可能會吃醋，哈哈。]
[t, Fiona, 我男友他知道了絕對不會讓我去這種地方的，但是我還真滿想去去看的。]
[t, Alex, 可以呀，有機會的話就帶妳去~ 帶女孩子跑趴我最會了，哈哈。]
[t, , 感覺可以利用這個機會跟這個富二代繼續攀關係，很快他就會變成我的提款機了。]
[t, Fiona, 太棒了，不知道甚麼時候會有那個機會。]
[cend]
[f, 04]
[t, , 終於下課了，怎麼這學期盡是這些無聊的課。]
[f, 03]
[t, , 手機響了。]
[t, Fiona, 哈呢~~ 一起吃中餐？嗯嗯。等等過去。掰~ ]
[t, , 先陪男朋友吃個中餐吧。]
[f, 00]
[t, , ...]
[t, , 還是跟帥帥的男朋友一起吃飯最開心了~ ]
[t, , 他都會幫我吹太燙的湯~ 還會幫我付錢~ ]
[t, , 而且不會聊一些我不喜歡的話題~ 真幸福~ ]
[t, , ]
[f, 03]
[t, , 呼... 吃飽了，下午沒啥課，會宿舍耍廢吧。]
[c, E1]
[t, , 對了，我還要還 Carl 手機呢。跟他約個地方給他吧。]
[f, 00]
[t, , ...]
[f, c9]
[t, Fiona, 終於來了，你的手機在這。]
[t, Carl, 真的太謝謝妳了！晚餐要不要一起吃？我請妳吃晚餐當作答謝吧。]
[t, Fiona, 嗯... 不用啦，只是順道還你手機而已。]
[t, Carl, 沒有沒有，反正能夠跟像妳這樣的女孩子一起吃晚餐也是我的榮幸。]
[t, Fiona, 我晚上已經有事情了，沒辦法囉。掰掰~ ]
[t, Carl, 好吧... 還是謝啦。]
[t, , Carl 感覺幾乎快要被我收服了，所以晚餐還不用急著跟他吃，他會慢慢等我的，呵呵。]
[cend]
[f, 00]
[t, , 終於回到宿舍了，回到宿舍就想打混了。]
[f, 10]
[t, , 咦，有人加我 Facebook 好友，是 Dan 呀。]
[t, , 接受他的交友邀請吧。]
[t, , 看來我今天的舉動有吸引到他，呵呵。]
[c, D1]
[f, 11]
[t, Stan, 嗨嗨~ ]
[t, , ... 我的天啊，這傢伙又來煩了，但是為了收集工具人，陪他聊聊吧。]
[t, Fiona, 怎麼了？]
[t, Stan, 沒有啦，我剛才在路上看到妳往宿舍走，今天沒有課了喔？]
[t, , 到底多想找話題，跟蹤狂嗎。]
[t, Fiona, 對呀，今天課很少，大學生活真愜意~ ]
[t, Stan, 我果然猜對了，我今天也正好沒課耶~ ]
[t, , 喔。所以呢？唉唉... 好不想跟他繼續聊喔... ]
[t, , 但是為了跟 Stephanie 打賭的包包，我要繼續堅持蒐集工具人！]
[t, Fiona, 是喔~ 一整天都沒課？]
[t, , ...]
[t, , ....]
[t, , .....]
[t, Stan, 哈哈，好喔，那之後再聊~ ]
[t, Fiona, 嗯嗯，掰掰~ ]
[f, 10]
[t, , 終於結束了... 這浪費生命的對話。]
[cend]
[c, B1]
[f, 16]
[t, , 這不是 Gavin 嗎？]
[t, Gavin, 嗨嗨~ 我們要來討論一下昨天上課分配的分組報告了嗎？]
[t, Fiona, 那其他人呢？要創一個群組和其他組員一起討論吧]
[t, Gavin, 也是，我看妳剛好在線上就先來密妳了]
[t, , 單獨聊天也行啦，這樣比較有機會跟他維持關係，呵呵。]
[t, , ...]
[t, , ....]
[t, , .....]
[t, , 又聊了一陣子，原來 Gavin 平常有在健身，除了健身好像就沒啥事情做了，難怪沒事就密我。]
[t, Gavin, 對了，我們乾脆一起吃晚餐在討論報告好了？感覺用電腦打字也沒啥效率]
[t, Fiona, 那你找找看 Eliot 看他要不要過來一起討論]
[t, Gavin, 他說他要跟別人吃飯了，那個人好像是... 妳朋友？]
[t, Fiona, 誰？ Stephanie？不會吧！？]
[t, Gavin, 沒錯沒錯，就是她，不知道為什麼最近 Eliot 跟妳朋友那麼好]
[t, , 可惡，那個傢伙，明明是我先要找 Eliot 當工具人的，居然搶先我約他吃飯...]
[t, Fiona, 好吧，也只能我們和我室友先一起討論囉]
[t, Gavin, 嗯嗯，等會兒見]
[f, 10]
[cend]
[c, B2]
[t, , 對了，突然想到要來討論一下，昨天上課分組的報告。]
[t, , 順便來跟我未來的工具人們聯絡一下，呵呵。]
[t, , 先密 Edwin 好了，他好像課業很厲害。]
[f, 17]
[t, Fiona, 嗨，我是 Fiona ，想問一下要甚麼時候來討論一下昨天分好的小組報告？]
[t, Edwin, 喔喔，我已經在做報告了耶，應該不需要其他人幫忙啦]
[t, Fiona, !!! 是喔 !!! 你也太厲害了吧，真的不需要我們協助嗎？]
[t, Edwin, 有一個最後的報告心得可能要你們寫一下吧，就這樣而已]
[t, Fiona, 嗯嗯，沒問題，你也太 carry，不然今天晚上我請你吃頓飯吧~ ]
[t, Edwin, 不用請啦，但是可以吃個飯順便把作業心得給我]
[t, Fiona, 嗯嗯，那我和我室友 Barbara 就一起過去吃喔]
[t, Edwin, 那個 Gavin 懶得做作業，所以他沒有要過來]
[t, , 可惡，為什麼 Gavin 不來？我反而比較想要跟他吃飯。]
[t, Fiona, 他這樣太不負責任了吧！]
[t, Edwin, Gavin 人就是這樣，平常沒事做，但是也不會想要找事情做]
[t, , 唉... 感覺是一個沒什麼用的工具人，算了吧。]
[f, 10]
[cend]
[c, B3]
[f, 18]
[t, Fiona, 這不是 Eliot 嗎？]
[t, Eliot, 嗨嗨，等等晚餐時間要不要一起討論一下昨天上課分組的作業報告？]
[t, Fiona, 噢噢，原來是討論報告，這麼快就要開始囉？]
[t, Eliot, 對呀，反正趁現在大家時間還算多，約出來順便聊聊天呀~ 我不太喜歡打字]
[t, Fiona, 好呀，晚餐見吧]
[f, 10]
[t, , 既然想要約出來吃晚餐，就順他的意吧。]
[t, , 能跟越多男生相處越有機會吊到更多工具人，呵呵。]
[cend]
[f, 19]
[t, Fiona, 咦咦咦咦咦咦咦！這是什麼鬼！]
[f, c2]
[t, Barbara, 怎麼了，幹嘛大呼小叫的？]
[t, Fiona, 我的電腦怎麼跑出來這個醜醜的東西呀？]
[t, Barbara, 哈哈哈，電腦中毒囉，而且好像是勒索病毒。]
[t, Fiona, 會怎麼樣嗎？]
[t, Barbara, 就，妳得繳錢才能拿回妳電腦裡面的檔案呀。]
[t, Fiona, 有辦法救嗎...？]
[t, Barbara, 目前看起來不太可能，頂多把還沒鎖起來的檔案就出來而已。]
[t, Barbara, 這個病毒叫做 Wanna Sister Encypt0r，不知道是哪個肥宅寫出來的。]
[t, Fiona, 好麻煩喔... 先去吃飯好了，說不定那些男生們會修？]
[t, Barbara, 妳也太會利用男生了吧，我不知道耶，可以給他們試試看呀。]
[f, 00]
[t, Fiona, 那走吧，反正也該是時候吃晚餐了，跟那些組員們討論一下報告吧。我收個電腦。]
[c, B1]
[f, c2]
[t, Barbara, 欸，我發現我原本跟其他人有約了，可能不能過去了。]
[t, Fiona, 這樣我不就要單獨面對那個奇怪的男生了嗎？好像叫做 Gavin 的。]
[t, Barbara, 沒差吧，妳不是跟任何男生都很吃得開嗎？]
[t, , 那還不是有目的才只能這樣的...]
[t, Barbara, 掰掰啦，我先走一步。]
[f, 09]
[t, , 還真的只有我跟 Gavin 吃晚餐...]
[f, c8]
[t, , 算了，反正這男的沒有到很糟啦，為了蒐集工具人，跟他聊聊吧。]
